id,reported_at,neighbourhood,latitude,longitude,severity_iron_marks,weather,reporter_mood,swallowed_object,reporter_quote,citizen_id
dc5db0ee-7da2-44af-baf7-1aecddb1fe89,2026-02-15T19:42:08+00:00,Hisingen,57.707298,11.934368,5,regn,vengeful,lost mitten,I am not angry. I am Swedish.,cit-00328
3f6db709-ecea-471a-9b08-757b7633f6d8,2026-05-10T06:20:04+00:00,Hisingen,57.695215,11.908796,3,dimma,frustrated,hubcap,I was carrying lutfisk. The lutfisk made it. The car did not.,cit-00277
48e556eb-0559-4fdd-8979-ea8188142312,2026-04-01T23:59:40+00:00,Hisingen,57.694146,11.922768,3,dimma,frustrated,Volvo emblem,It connects to a parallel Gothenburg.,cit-00203
b72a3356-8e01-4f21-8640-5d6b72485020,2026-05-10T15:22:18+00:00,Lorensberg,57.69653,11.986844,3,regn,philosophical,concert hall pin,I file a report annually. We have history.,cit-02974
fe650758-02ad-4495-83d6-b8ee5acfd32f,2026-04-17T12:08:00+00:00,Gamlestaden,57.724322,12.018065,3,snö,frustrated,,It was deeper than the conversation we were having in the car.,
36ff4230-d7f5-4ccc-bed7-6d3da13bfe94,2026-04-29T08:00:55+00:00,Centrum,57.709904,11.976524,1,regn,frustrated,umbrella,My grandmother fell into a pothole on this exact street in 1962.,
795f2a9d-2bd0-4787-9bce-613f28a78f6e,2026-03-21T19:42:10+00:00,Frölunda,57.660161,11.965871,5,snö,resigned,,I used to have an alignment.,cit-00662
e494b2f8-3d93-4894-8b79-df5f8455bfa8,2026-03-04T06:13:33+00:00,Frölunda,57.656907,11.931636,3,slask,resigned,a smaller pothole,The hole is older than I am. I am 51.,cit-00724
5fdbba44-55c5-475d-9ace-cf3642eb0ab3,2026-03-21T05:24:13+00:00,Annedal,57.690671,11.949945,2,dimma,philosophical,student textbook,I have a season pass.,cit-01055
ab69f5b3-71ec-4215-88f8-71d8cb53bcd3,2026-04-17T00:19:03+00:00,Frölunda,57.665367,11.933126,3,snö,resigned,,The Volvo handled it. I did not.,cit-00582
b6d4e62c-0b63-46e6-86ce-25f63735a0a3,2026-05-01T06:40:39+00:00,Frölunda,57.659341,11.963525,4,slask,philosophical,,"It opens at 7am, like the bakery.",cit-00605
f4f360da-ecb9-4b2f-a1dd-97b9feed416f,2026-05-08T17:17:04+00:00,Gamlestaden,57.723124,12.016969,2,slask,frustrated,factory whistle,It rained inside my car. The car is closed.,cit-02449
2be12079-20b1-4f23-8e2d-e78ce77635b2,2026-04-10T15:52:46+00:00,Vasastan,57.701618,11.979288,2,regn,resigned,cufflink,My toddler asked 'are we there yet'. We were two metres from home.,cit-02940
91b054d0-504d-4663-80ae-b49496d963e9,2026-02-12T08:43:23+00:00,Majorna,57.6951,11.942128,3,sol,lagom,,It used to be a road.,cit-02658
5b33c84f-703e-4536-be30-0be9630908ac,2026-03-27T06:39:12+00:00,Hisingen,57.692821,11.938638,4,slask,vengeful,industrial bolt,The pothole rejected the cinnamon bun. The cinnamon bun was free.,cit-00480
b64d72d8-dc9a-425d-b4b6-b9cff5309a34,2026-04-04T10:24:08+00:00,Frölunda,57.663392,11.951905,5,regn,resigned,,There is a smaller pothole inside the larger pothole. We call it Lille Per.,cit-00643
d17df9d7-a9b8-4375-b49b-490ef09eb2f0,2026-04-25T00:58:13+00:00,Hisingen,57.690401,11.94141,5,slask,vengeful,Volvo emblem,It connects to a parallel Gothenburg.,
f51c9ab9-e4a6-4fc0-b59c-ff0bf77194b7,2026-03-02T13:18:11+00:00,Frölunda,57.668853,11.944122,4,snö,resigned,,It contains its own weather system. We named it Eva.,cit-00783
9b1d9b8d-304f-4854-bacf-7cea17d90e7e,2026-04-07T08:25:08+00:00,Centrum,57.710283,11.976109,4,sol,resigned,office lanyard,I lost the radio antenna. It is now somewhere geological.,cit-01528
35a2f747-5723-4448-a20c-ce955d354229,2026-02-22T16:17:25+00:00,Gamlestaden,57.720248,12.019471,3,slask,philosophical,factory whistle,The pothole had its own postcode.,cit-02276
d9a4d1d6-3bfd-4b95-93e7-f03f6d052a5f,2026-04-12T18:24:20+00:00,Majorna,57.701799,11.928003,1,sol,amused,vintage tote,I gave up at the pothole. I started a podcast.,cit-02625
7482ec5b-8ead-450e-a678-cbf18df4dd12,2026-03-29T17:59:19+00:00,Centrum,57.70967,11.983058,3,sol,frustrated,office lanyard,I named it. It is now part of the family.,cit-01836
ba8fdc2f-563c-44c4-bda8-ba9cade01192,2026-05-10T04:40:04+00:00,Linné,57.698528,11.945323,3,regn,philosophical,natural-wine cork,I drove around it. The detour was through 1972.,cit-02575
7eec58a7-d6cb-420e-bd89-2446f5a3ca40,2026-02-16T06:56:24+00:00,Frölunda,57.655519,11.960889,4,regn,resigned,,I composed a haiku. The pothole inspired it. The car broke.,
19ec6c1b-8f0a-4a78-bfd7-a70b24f08f8e,2026-02-15T06:16:03+00:00,Kortedala,57.775789,12.055356,3,snö,vengeful,,The cinnamon bun did not survive.,cit-01040
3b8b016d-4d8b-4c95-9a9c-a33a596fb546,2026-02-26T15:56:11+00:00,Hisingen,57.716816,11.857389,3,snö,frustrated,factory ID badge,"I drove through it gently, as one would a sleeping baby.",cit-00229
96420347-cc3c-4952-a480-5e141ee2d72c,2026-04-28T16:43:40+00:00,Annedal,57.697759,11.953997,2,sol,lagom,,I avoided it for three years. Today I forgot.,cit-01893
82fdc87f-5186-4e12-ac00-dc4e58de4bdf,2026-04-02T19:22:22+00:00,Frölunda,57.65643,11.940371,5,regn,resigned,,The chassis sounds like a confused harp.,cit-00861
656f7d2a-c50c-49bd-a78a-488e1b2cf036,2026-02-13T08:55:12+00:00,Örgryte,57.714246,11.991062,1,regn,resigned,tennis ball,I named it. It is now part of the family.,cit-02777
b74c3959-aa34-4f14-90d3-a500bae0e1d3,2026-02-28T01:45:41+00:00,Majorna,57.698441,11.944648,4,sol,philosophical,vinyl record,I have insurance. The insurance has a question.,cit-02601
75a4b29e-f511-43a3-9b69-72cfc80ac478,2026-03-23T09:02:20+00:00,Centrum,57.707675,11.960503,2,regn,resigned,umbrella,My grandfather warned me about this exact spot. He was 9.,cit-01874
e93ecd1e-ca18-4496-9cca-414ae8b57611,2026-04-22T01:41:12+00:00,Haga,57.701689,11.966715,1,sol,philosophical,second-hand cup,I have insurance for tyres now. Just for this road.,cit-01474
28aae490-696a-4e97-ba31-dffc8de9a343,2026-05-11T01:25:16+00:00,Annedal,57.692033,11.947749,3,sol,philosophical,,It is a feature of the neighbourhood now. The realtor mentioned it.,cit-02024
9eb6b197-8ec1-4a0c-8e03-9ac284ac4823,2026-04-02T14:51:49+00:00,Frölunda,57.663569,11.955214,4,snö,resigned,,The pothole has Wi-Fi.,cit-00565
497ce53e-e347-4689-9be7-9aab182af39c,2026-03-19T10:59:43+00:00,Frölunda,57.653484,11.956207,5,regn,philosophical,,The pothole asked for ID.,cit-00818
f9b3b9f1-c1ae-48bc-921b-af539d830f5f,2026-03-25T14:16:24+00:00,Linné,57.69329,11.952323,1,regn,philosophical,natural-wine cork,"Lagom-sized, by Gothenburg standards.",cit-02565
cd330c23-4b9d-4930-9f0c-0b411477a77d,2026-05-05T08:19:24+00:00,Linné,57.693003,11.952024,2,sol,philosophical,,It was filled in 2019. It rose again in 2024.,
7ffc16f2-c831-4ed4-bb96-221626a64699,2026-03-09T19:15:50+00:00,Gamlestaden,57.723966,11.993439,2,snö,frustrated,,I gave up at the pothole. I started a podcast.,cit-02341
cbffaee7-384e-4eae-ad7d-ae0185982b90,2026-02-27T07:44:31+00:00,Annedal,57.694148,11.947529,2,regn,frustrated,bicycle bell,The road and I have a complicated relationship.,cit-02064
7b0ba326-de14-4ad3-9ba8-b2bc85a31b92,2026-02-22T04:20:32+00:00,Örgryte,57.700649,11.998971,2,dimma,resigned,tennis ball,The seatbelt held. Everything else loosened.,cit-02782
33117fbb-5208-43d5-9b74-97a483c35563,2026-02-21T08:33:45+00:00,Frölunda,57.661108,11.941591,4,slask,resigned,entire shopping bag,The pothole and the lamppost are in a long-term feud.,cit-00790
9ee3e317-130b-4a99-bf03-eab0dafb6683,2026-04-27T15:53:50+00:00,Centrum,57.702207,11.975693,5,sol,resigned,tram pass,I drove around it. The detour was through 1972.,cit-01777
691e2665-d4b2-4ea7-9571-90dc821180c9,2026-05-06T06:51:16+00:00,Frölunda,57.664228,11.960841,4,slask,philosophical,entire shopping bag,I am not angry. I am Swedish.,
1adea7f2-a9e8-4571-bd8b-c094f71ca596,2026-03-13T09:07:52+00:00,Kortedala,57.777151,12.045488,3,snö,frustrated,,The pothole has a Tripadvisor review. Three stars.,cit-00576
03d8174f-e2ef-4bd9-a4ac-665624737f27,2026-02-24T12:32:18+00:00,Frölunda,57.669859,11.936763,3,snö,resigned,,It is on the road from Volvo HQ. They commute around it.,cit-00823
75ebdb55-a43a-45e4-8c10-da1182dd738e,2026-03-21T07:55:05+00:00,Gamlestaden,57.725261,12.010393,3,regn,philosophical,,I now buy tyres in pairs. As a precaution.,cit-02340
7dde694f-8579-49a7-a8b0-450bfc47d0c5,2026-03-23T06:29:36+00:00,Haga,57.709109,11.968747,1,regn,amused,wedding confetti,I feel like the pothole and I are both trying our best.,
0091bf25-28f0-4c9d-b641-d0c283c62d5c,2026-04-12T13:32:44+00:00,Linné,57.698289,11.940961,4,regn,amused,,The pothole is older than my marriage.,cit-01463
82491de5-af45-47da-85f0-899535469ede,2026-02-16T08:01:21+00:00,Gamlestaden,57.72546,12.015424,3,regn,vengeful,shipyard rivet,There is a smaller pothole inside the larger pothole. We call it Lille Per.,
17c30777-c53c-44c1-bada-bcc3cf8c3813,2026-03-06T10:12:36+00:00,Centrum,57.706596,11.983108,2,dimma,frustrated,press card,It is in the official Volvo test track database. As a hazard scenario.,cit-01768
26d90be3-0bb5-4903-9234-c2986f7a4a4c,2026-02-18T07:27:27+00:00,Majorna,57.701002,11.919481,2,regn,lagom,sourdough loaf,I am here to report a pothole. I am also here to report a feeling.,cit-02591
72aa5335-43e5-4ae2-9d45-f0af01240651,2026-04-08T09:27:24+00:00,Majorna,57.69496,11.936916,1,sol,philosophical,,The pothole is older than my marriage.,cit-01850
586f1780-3fb4-4f8a-b125-92da68150b65,2026-04-04T19:44:48+00:00,Majorna,57.698226,11.924749,3,regn,lagom,oat milk carton,I saw my grandmother's missing brooch in there.,cit-02638
5dd0586f-ff1d-48c8-99d4-0691e3f3b551,2026-04-30T13:25:18+00:00,Gamlestaden,57.720078,12.001934,2,snö,vengeful,tram token,My V60 has trauma.,cit-02195
4c348369-9139-420d-88c8-3a5c7e3355c8,2026-05-05T03:09:45+00:00,Haga,57.701391,11.958661,3,dimma,amused,tourist postcard,The seatbelt held. Everything else loosened.,cit-01335
5c2276c4-ffca-47c9-90d7-cd1fb9b5c99a,2026-02-17T05:28:52+00:00,Vasastan,57.696491,11.981472,3,regn,resigned,cufflink,It connects to a parallel Gothenburg.,cit-02044
b66ed0e8-4d30-4c0e-9020-8129266aca49,2026-04-19T07:32:13+00:00,Frölunda,57.664266,11.943521,5,snö,resigned,,The pothole rejected the cinnamon bun. The cinnamon bun was free.,cit-00349
e874d10d-f40e-443b-b5ec-5d258dade55a,2026-04-08T03:56:45+00:00,Hisingen,57.708335,11.895105,3,regn,vengeful,Volvo emblem,The bicycle was reasonable. The car was not.,cit-00407
e9d6287f-1264-49d3-bbf3-7caa8ed72423,2026-04-08T16:43:55+00:00,Linné,57.696242,11.961041,2,regn,lagom,vintage scarf,I now believe in road spirits.,cit-02517
375edfa5-55bb-4db1-ad72-8589d66da137,2026-03-27T08:26:47+00:00,Majorna,57.70022,11.918642,4,regn,amused,oat milk carton,My therapist drives a different route to work.,
8b0b9165-93a4-4088-90e9-e0480700300f,2026-02-12T07:01:43+00:00,Hisingen,57.699939,11.866349,2,slask,vengeful,muffler bracket,The pothole had its own postcode.,
4a66dc92-506d-4ca5-86b3-7bc3e2d76008,2026-03-09T12:32:09+00:00,Annedal,57.695405,11.959662,3,regn,lagom,student textbook,I used to have an alignment.,cit-01955
9ec1d324-b6a1-48b2-befa-73b846a7b3b6,2026-05-10T13:49:43+00:00,Vasastan,57.69864,11.973803,1,sol,lagom,,I am not angry. I am Swedish.,cit-02846
6c11aa4f-6c15-43e6-b54f-db3918956811,2026-03-26T04:09:01+00:00,Frölunda,57.65665,11.936921,4,regn,philosophical,,I waved at it. It waved back.,cit-02670
e424dc98-59b0-493b-a241-5d82fab68568,2026-02-12T10:39:55+00:00,Vasastan,57.700709,11.975722,3,sol,resigned,,The municipality said 'we will look into it'. I sent them a photo. They sent thoughts and prayers.,cit-02920
afbed9f7-e0c6-4c13-a01b-f1e1cf995dfb,2026-03-12T15:09:07+00:00,Frölunda,57.659368,11.931716,4,slask,philosophical,,It was filled in 2019. It rose again in 2024.,cit-00133
94290f22-5262-4c7e-bec8-8efebc6efbd2,2026-02-26T11:46:27+00:00,Hisingen,57.712851,11.850574,4,slask,vengeful,factory ID badge,My satnav said 'recalculating life'.,cit-00149
21d10d3d-bd82-4742-a238-612361c83f25,2026-04-22T07:12:22+00:00,Lorensberg,57.701864,11.979166,2,regn,philosophical,opera programme,It contains atmospheric conditions.,cit-02998
fa885621-9dcd-4d20-b67c-de037ea73c3e,2026-02-18T09:01:51+00:00,Majorna,57.701677,11.922159,3,regn,lagom,linen napkin,I am not angry. I am Swedish.,cit-02738
dca36d24-41bf-4500-aae1-3864847c5892,2026-02-22T09:49:54+00:00,Hisingen,57.693431,11.923354,3,regn,vengeful,hubcap,I saw my grandmother's missing brooch in there.,cit-00195
9870829b-c73d-42d5-aae2-fd84c2134b45,2026-03-14T09:11:20+00:00,Frölunda,57.653391,11.955025,4,regn,philosophical,entire shopping bag,The pothole has a Google review. The owner replied.,cit-01275
473056b8-e991-444d-93e3-a8cc6d49ea4b,2026-03-27T06:34:52+00:00,Centrum,57.70589,11.971836,1,dimma,resigned,office lanyard,I saw my grandmother's missing brooch in there.,cit-01639
81796a2f-508d-4a81-a2a2-8169862f0fd8,2026-03-10T06:43:15+00:00,Frölunda,57.666119,11.96644,5,snö,philosophical,,The municipality calls it a 'pavement irregularity'. I call it Carl.,cit-01341
889cf169-8317-43d6-a895-3dce32a8abf0,2026-04-01T07:26:44+00:00,Hisingen,57.715262,11.884208,5,slask,vengeful,industrial bolt,My grandmother fell into a pothole on this exact street in 1962.,cit-00359
a43f5806-2167-4a8b-adeb-ac569221f925,2026-03-08T08:19:28+00:00,Kortedala,57.772796,12.042731,5,slask,frustrated,dog leash,The pothole has more depth than my last performance review.,cit-01089
f8eba09b-6452-46e7-9d79-c1f5c255bab7,2026-02-14T21:33:05+00:00,Annedal,57.692727,11.950587,2,sol,frustrated,thesis chapter,I gave up at the pothole. I started a podcast.,cit-02116
69927618-b38c-4fb4-8cdd-d66b14043ed7,2026-03-28T02:33:39+00:00,Gamlestaden,57.722858,11.997427,5,regn,vengeful,factory whistle,It was deeper than the conversation we were having in the car.,cit-02175
aff4713a-f91c-45d9-96ef-083b69ff5d2f,2026-04-09T23:00:36+00:00,Annedal,57.697704,11.966102,3,sol,lagom,thesis chapter,"The pothole has an Instagram. 4,000 followers.",cit-00059
0e295959-2614-4bb7-8211-7f93d0a10047,2026-05-10T18:36:47+00:00,Frölunda,57.665014,11.948683,2,snö,philosophical,,I have driven a Volvo since 1991. I have never driven over this pothole.,cit-00701
8d538d3a-a5f6-46af-8b5e-254450506969,2026-04-19T08:32:23+00:00,Majorna,57.695455,11.921481,1,dimma,lagom,vintage tote,I tried to fill it with snow. It rejected the snow.,
602652f6-0454-4a54-81ee-150f54bafa06,2026-05-11T23:55:36+00:00,Haga,57.708484,11.956774,2,regn,philosophical,second-hand cup,I have insurance. The insurance has a question.,cit-01569
1319db6e-29a3-4270-9f3e-e26a578cad8e,2026-04-12T01:33:19+00:00,Gamlestaden,57.734448,11.999114,3,slask,vengeful,,I sang along to ABBA all the way down.,cit-02228
728c4ef6-ba28-4416-ba37-e6f48eee1fac,2026-04-15T14:47:59+00:00,Gamlestaden,57.720228,12.014257,4,regn,frustrated,tram token,My grandmother fell into a pothole on this exact street in 1962.,cit-00531
769ea738-4080-45b8-93a1-0e5b9ed2c5c2,2026-05-06T19:27:46+00:00,Centrum,57.706024,11.980266,4,regn,resigned,office lanyard,"It is, on balance, well-formed.",cit-01870
ecf55b3f-1d8f-4128-b034-79ed6f4b23b8,2026-03-02T09:58:37+00:00,Hisingen,57.693499,11.939971,3,regn,resigned,Volvo emblem,It is the third entry on the local pub quiz.,cit-00097
d7163260-20db-4ba6-a2a0-be8d495a2edb,2026-05-10T06:47:09+00:00,Hisingen,57.700106,11.89648,4,slask,vengeful,factory ID badge,It contains atmospheric conditions.,cit-01910
d8e7eb77-c969-4466-938f-162de6fb1497,2026-02-19T17:08:58+00:00,Hisingen,57.701149,11.870408,4,slask,vengeful,,I was warned. I drove anyway. I learned.,cit-02127
d5257e3b-b23d-401d-a6b1-4f8d370f2789,2026-03-01T08:02:21+00:00,Majorna,57.701876,11.919511,3,regn,lagom,linen napkin,I now believe in road spirits.,cit-02682
219f684a-2b8e-4b40-a291-c1e0cd1e5dc0,2026-03-28T14:48:04+00:00,Gamlestaden,57.726241,11.995783,4,snö,vengeful,tram token,It contained a smaller pothole. Russian dolls but Swedish.,cit-01807
d1613ef1-d452-4b77-b732-8c307d896fa6,2026-02-19T11:50:34+00:00,Frölunda,57.66817,11.958547,4,snö,philosophical,,It is on the Volvo onboarding tour. New employees are shown it.,
5d4fa6e1-7ed8-41ad-b47a-3785707896c5,2026-02-17T07:14:17+00:00,Hisingen,57.693123,11.934408,3,regn,vengeful,Volvo emblem,The pothole files its own taxes.,cit-00051
e64b1e36-b2b3-48a6-89ac-4d6543d37cd7,2026-03-14T12:32:04+00:00,Kortedala,57.768247,12.046759,5,regn,frustrated,1980s coin,It moves between Tuesdays and Thursdays.,cit-01210
d2469510-690b-407e-a4ea-f5644a10080e,2026-03-11T09:34:54+00:00,Frölunda,57.66768,11.960233,2,regn,lagom,,I yelled in Swedish. The pothole answered in Norwegian.,
f33caab0-f356-48f9-bbc6-670f17343203,2026-04-03T06:04:55+00:00,Haga,57.703047,11.969086,2,sol,philosophical,wedding confetti,I was not surprised. That is the most Gothenburg thing about this.,cit-00339
34af73dc-bee5-43b4-9c62-df17cae8f64b,2026-02-17T06:41:46+00:00,Hisingen,57.717329,11.866151,3,slask,frustrated,,I yelled in Swedish. The pothole answered in Norwegian.,
369da40b-466c-4ac8-842c-bedb5745d43c,2026-02-23T10:38:31+00:00,Frölunda,57.668854,11.953079,5,regn,lagom,,I have insurance for tyres now. Just for this road.,cit-00777
06c4c40a-0970-4f23-9325-b58fc1bffe22,2026-02-23T21:24:05+00:00,Kortedala,57.770127,12.041938,5,snö,frustrated,,It snowed yesterday. The pothole is now a fountain.,cit-01221
6e6513e4-b4bf-4166-adae-5284ad247833,2026-02-14T07:46:06+00:00,Annedal,57.696109,11.951866,4,regn,lagom,bicycle bell,I felt every bone in my chassis.,cit-01941
3f63038d-fba1-4fac-a476-355285dfba1b,2026-03-07T12:27:53+00:00,Gamlestaden,57.727207,12.002794,4,dimma,frustrated,factory whistle,My toddler asked 'are we there yet'. We were two metres from home.,cit-02147
058712e9-b671-4a7b-a228-c7ed20bbc558,2026-03-18T20:32:14+00:00,Haga,57.704918,11.969734,2,regn,philosophical,second-hand cup,It is the third entry on the local pub quiz.,cit-01996
587931f9-387c-44d7-9274-9c93ee5bdd60,2026-04-23T19:24:51+00:00,Örgryte,57.71026,11.993155,3,sol,amused,garden glove,I file a report annually. We have history.,cit-02765
fc42c5b9-5521-4abb-a7b8-944b0c0be85c,2026-03-07T16:51:34+00:00,Lorensberg,57.698637,11.978113,2,sol,philosophical,festival wristband,I felt every bone in my chassis.,cit-02951
3de04392-2434-4aa0-b504-b8cc08c8cf08,2026-04-05T07:47:00+00:00,Kortedala,57.771249,12.061834,5,snö,vengeful,apartment key,I tried to fill it with snow. It rejected the snow.,
12fc2a06-1d2c-4572-90eb-09c989b75244,2026-03-03T02:32:17+00:00,Gamlestaden,57.728313,12.014174,5,snö,frustrated,century-old nail,It used to be the parking spot for the bakery van.,cit-02301
02632e97-13de-4a8e-9375-9b9fb3c08fdd,2026-04-27T13:09:29+00:00,Gamlestaden,57.725737,11.995638,1,snö,frustrated,factory whistle,I now drive on the pavement. It is safer.,cit-02322
ff585cb2-0000-4d29-8fc1-418e2983a28c,2026-03-10T13:16:53+00:00,Kortedala,57.762104,12.043727,4,snö,vengeful,1980s coin,I file a report annually. We have history.,cit-01188
b3230979-b406-4e3b-8f58-9a8509e935c7,2026-04-28T10:15:04+00:00,Majorna,57.694692,11.937708,1,sol,lagom,vinyl record,It was filled in 2019. It rose again in 2024.,cit-02584
